name,twitter,short_desc,desc,tag,href,expert_id
Nat Malkus,natmalkus,"Resident Scholar; Deputy Director, Education Policy Studies ","Career and technical education
K-12 education
School choice
Teachers unions

Education 
Nat Malkus is a resident scholar and the deputy director of education policy at the American Enterprise Institute (AEI), where he specializes in empirical research on K–12 schooling. He is a national expert on a range of educational issues that affect students across the country—including Career and Technical Education, school choice, Advanced Placement, standardized testing, and how the nation’s schools responded to the COVID-19 pandemic.
Before joining AEI, Dr. Malkus was a senior researcher at the American Institutes for Research, where he led research teams analyzing national education data on topics including how many college students take remedial courses, the comparisons between charter and traditional public schools, and student achievement and graduation rates in schools undergoing turnaround reforms. Earlier, he spent four years as a middle school teacher in Maryland.
Dr. Malkus has a PhD in education policy and leadership from the University of Maryland, College Park, and a BA in historical studies from Covenant College.
Experience
Education
Ph.D., education policy and leadership, University of Maryland, College Park
B.A., historical studies, Covenant College
PhD, education policy and leadership, University of Maryland, College Park
BA, historical studies, Covenant College
As vocational education has evolved into career and technical education (CTE) over the past several decades, it has progressed away from the stigma and stereotype of “voc-ed” as an academic dead end. However, the transformation from vocational education to CTE may have hidden, rather than solved, the durable challenges of vocational education.
50 states of credit recovery: An interactive look at state-level credit recovery participation AEI’s Nat Malkus explores high school credit recovery programs across the nation and in each state. Credit recovery programs have drawn both acclaim and criticism as high-school graduation rates have hit record highs five times in the past five years. These programs […]
Done well, credit recovery can give students a second chance to stay on track for graduation. Done poorly, it creates a second track that threatens school cultures and lowers our expectations for our most disadvantaged students and the schools that serve them.
The Donald Trump administration could bolster state sovereignty over education by creating an Interstate Test-Item Bank Cooperative, which would give states added authority to manage their assessments and standards.","Career and technical education
K-12 education
School choice
Teachers unions",https://www.aei.org/profile/nathaniel-n-malkus/,nathaniel-n-malkus
Oriana Skylar Mastro,osmastro,Resident Scholar,"China
Chinese military
US Asia-Pacific defense policy

Foreign and Defense Policy 
Oriana Skylar Mastro is a resident scholar at the American Enterprise Institute, where she focuses on Chinese military and security policy in the Asia-Pacific and rising power challenges to the international order. She is also assistant professor of security studies at the Edmund A. Walsh School of Foreign Service at Georgetown University and concurrently serves in the United States Air Force Reserve as a senior China analyst at the Pentagon.
Her latest book is “The Costs of Conversation: Obstacles to Peace Talks in Wartime” (Cornell University Press, 2019).
Previously, Dr. Mastro was a fellow in the Asia-Pacific Security program at the Center for a New American Security. She is the recipient of numerous fellowships and awards, including the Air Force’s 2016 Individual Reservist Company Grade Officer of the Year, the National Bureau of Asian Research’s Ellis Joffe Prize for People’s Liberation Army Studies, the Miller Center National Fellowship at the University of Virginia, and the Stanton Nuclear Security Fellowship at the Council on Foreign Relations. In her military career, she has served as a political-military affairs strategist at Pacific Air Forces, a reserve air attaché for the Asia-Pacific region, and an Asia-Pacific and China strategist at the Pentagon.
Dr. Mastro has contributed to a variety of edited volumes and academic journals, including Asia Policy, Asian Security, International Security, International Studies Review, Journal of Strategic Studies, Survival, and The Washington Quarterly. In the popular press, her work has appeared in The Atlantic, Financial Times, Foreign Affairs, and The National Interest, among others.
Dr. Mastro has a PhD and an MA in politics from Princeton University and a BA in East Asian studies from Stanford University.
PhD, MA, politics, Princeton University
BA, East Asian studies, Stanford University","China
Chinese military
US Asia-Pacific defense policy",https://www.aei.org/profile/oriana-skylar-mastro/,oriana-skylar-mastro
John Maurer,,Visiting Scholar,"arms control
Diplomacy
Intermediate-Range Nuclear Forces (INF) Treaty
National security
US Grand Strategy Series

Foreign and Defense Policy 
John Maurer is a visiting scholar at the American Enterprise Institute (AEI), where he focuses on nuclear and grand strategy, arms control, national security, and US diplomatic history.
Before joining AEI, Dr. Maurer was a Kissinger Postdoctoral Associate at Yale University. He has taught in the history departments of Yale and Georgetown University and has worked for the American Studies Association and the Long Term Strategy Group.
Dr. Maurer’s work has been published by a variety of academic journals and media outlets, including Diplomatic History, Texas National Security Review, The National Interest, RealClearDefense, and War on the Rocks. In his forthcoming book, “Competitive Arms Control: Nixon, Kissinger, and SALT, 1969–1972,” he examines the strategy behind the Strategic Arms Limitation Talks (SALT 1) in the Richard Nixon administration.
Dr. Maurer has a BS in international politics, an MA in history, and a PhD in US diplomatic history from Georgetown University.
PhD, US diplomatic history, MA, history, Graduate School of Arts and Sciences, Georgetown University; BS, international politics, Edmund A. Walsh School of Foreign Service, Georgetown University","arms control
Diplomacy
Intermediate-Range Nuclear Forces (INF) Treaty
National security
US Grand Strategy Series",https://www.aei.org/profile/john-maurer/,john-maurer
Michael Mazza,,Visiting Fellow,"China
North Korea
Taiwan
US Asia-Pacific defense policy

Foreign and Defense Policy 
Michael Mazza is a visiting fellow at the American Enterprise Institute (AEI), where he analyzes US defense policy in the Asia-Pacific region, Chinese military modernization, cross–Taiwan Strait relations, and Korean Peninsula security. A regular writer for the AEIdeas blog, he is also the program manager of AEI’s annual Executive Program on National Security Policy and Strategy.
Mazza has contributed to numerous AEI studies on American grand strategy in Asia, US defense strategy in the Asia-Pacific, and Taiwanese defense strategy, and his published work includes pieces in The Wall Street Journal Asia, Los Angeles Times, and The Weekly Standard. Mazza was recognized as a 2010-11 Foreign Policy Initiative Future Leader.
Mazza has an MA in international relations from the Johns Hopkins School of Advanced and International Studies and a BA in history from Cornell University. He has lived in China where he attended an inter-university program for Chinese language studies at Tsinghua University in Beijing.
MA, international relations (strategic studies and international economics), Paul H. Nitze School of Advanced International Studies (SAIS), Johns Hopkins University
Inter-University Program for Chinese Language Studies, Tsinghua University, Beijing, China
BA, history, Cornell University","China
North Korea
Taiwan
US Asia-Pacific defense policy",https://www.aei.org/profile/michael-mazza/,michael-mazza
Rachel M. McCleary,,Visiting Scholar,"Philosophy
Political economy
Religion

Economics 
Rachel M. McCleary is a visiting scholar at the American Enterprise Institute (AEI), where she focuses on how religious beliefs and practices influence productivity, economic growth, and the maintenance of political institutions such as democracy. She is also a lecturer in the Department of Economics at Harvard University.
Dr. McCleary’s work is interdisciplinary with theoretical grounding in political science, sociology, philosophy, and economics. Her research focuses on how religion interacts with economic performance and the political and social behavior of individuals and institutions across societies. At AEI, she continues her work on the political economy of religion, moral philosophy, and economic development in Central America.
Dr. McCleary has worked on Central America issues for decades. She was a Fulbright Research Fellow in Guatemala in 1994. In 1997, she coordinated a project for a private-sector initiative in a post-conflict setting for the Inter-American Development Bank, working between Washington, DC, and Guatemala. She consults on economic growth and human capital in Central America.
A prolific writer, Dr. McCleary has been widely published in academic journals. In addition, her books include the forthcoming “Religion and Political Economy” (with Robert J. Barro, Princeton University Press, 2018); “The Oxford Handbook of the Economics of Religion” (Oxford University Press, 2011);“Global Compassion: Private Voluntary Organizations and U.S. Foreign Policy Since 1939” (Oxford University Press, 2009), the winner of the 2010 Association of Fundraising Professionals’ Skystone Partners Prize for Research on Fundraising and Philanthropy; “Dictating Democracy: Guatemalan Elites and the End of Violent Revolution” (University Press of Florida, 1999 in English) and (Artemis-Edinter, 1999 in Spanish); a chapter titled “Postconflict Political Economy of Central America” in “Comparative Peace Processes in Latin America” (Woodrow Wilson Press and Stanford University Press, 1999); and“Seeking Justice: Ethics and International Affairs” (Westview Press, 1992).
Dr. McCleary holds a doctorate in moral philosophy from the University of Chicago; a master’s in theological studies from Candler School of Theology, Emory University; and a bachelor’s of arts in linguistics and Spanish from Indiana University.
PhD, political theory and moral philosophy, University of Chicago
MTS, Emory University
BA, linguistics and Spanish, Indiana University","Philosophy
Political economy
Religion",https://www.aei.org/profile/rachel-m-mccleary/,rachel-m-mccleary
Elaine McCusker,,Resident Fellow,"Defense strategy
Defense budget
US military
Defense innovation
National security

Foreign and Defense Policy 
Elaine McCusker is a resident fellow at the American Enterprise Institute (AEI), where she focuses on defense strategy, budget, and innovation; the US military; and national security. She has a background in defense planning and budgeting, military campaign assessments, defense data analytics, contingency operations and science and technology, and substantial experience in resolving complex strategic and tactical-level challenges, including those with international dimensions.
Before joining AEI, Ms. McCusker served as deputy and then acting under secretary of defense (comptroller) from August 2017 until June 2020. In total, she served for more than 13 years at the Department of Defense, including at US Central Command, the Office of the Under Secretary of Defense (Comptroller), and the assistant secretary of the Navy for research, development, and acquisition.
Ms. McCusker also spent three years on Capitol Hill as a professional staff member on the Senate Armed Services Committee. Earlier, she spent six years with the Argonne National Laboratory and four years with the University of Washington.
Ms. McCusker has a BA in political philosophy from the University of Dallas.
• US Department of Defense: Acting and Deputy Under Secretary of Defense (Comptroller), 2017–20; Director, Resources and Analysis, US Central Command, MacDill Air Force Base, 2011–17; Deputy Director, Operations, Office of the Under Secretary of Defense (Comptroller), 2010–11; Associate Director, Operations, Office of the Under Secretary of Defense (Comptroller), 2008–2010; Special Assistant to the Assistant Secretary of the Navy for Research, Development, and Acquisition, 2007–08
• Senate Armed Services Committee: Professional Staff Member, 2004–07
• University of Washington: Assistant Director, Federal Relations; Co-Chair, Coalition for National Security Research, 2000–04
• Argonne National Laboratory, University of Chicago and US Department of Energy: Congressional/Government Affairs Liaison, 1994–2000
BA, political philosophy, University of Dallas",,https://www.aei.org/profile/elaine-mccusker/,elaine-mccusker
Bruce D. Meyer,,Visiting Scholar,"Income inequality
Poverty studies
US Census

Economics 
Bruce D. Meyer is a visiting scholar at the American Enterprise Institute (AEI) where he focuses on poverty, inequality, and social safety net programs. Concurrently, he is the McCormick Foundation Professor at the University of Chicago’s Harris School of Public Policy. He is also a research fellow at the National Bureau of Economic Research.
His faculty appointments include being a tenured professor of economics at Northwestern University and a visiting professor of economics at Harvard University, Princeton University, and University College London. He has also advised the US Department of Labor and the US Bureau of Labor Statistics.
The author of many book chapters, Dr. Meyer has been widely published in academic journals. He is also a former editor of the Journal of Labor Economics.
Dr. Meyer has a PhD in economics from the Massachusetts Institute of Technology and an MA and BA, also in economics, from Northwestern University.
PhD, economics, Massachusetts Institute of Technology

MA, BA, economics, Northwestern University","Income inequality
Poverty studies
US Census",https://www.aei.org/profile/bruce-d-meyer/,bruce-d-meyer
Thomas P. Miller,,Resident Fellow,"Affordable Care Act (Obamacare)
Health care policy

Health Care 
Thomas Miller is a resident fellow at the American Enterprise Institute (AEI), where he studies health care policy, including regulatory barriers to choice and competition, market-based alternatives to the Affordable Care Act, health care litigation, and the political economy of health care reform.
A former senior health economist for the Joint Economic Committee in Congress, Mr. Miller was previously a trial attorney, journalist, and sports broadcaster.
Mr. Miller is the coauthor of the bestseller “Why Obamacare Is Wrong for America” (HarperCollins, 2011), the first in-depth examination of the impact of the Affordable Care Act. His analyses and commentary have been published and featured widely in peer-reviewed publications and in the popular press, including Cato Journal, Health Affairs, Law and Contemporary Problems, the Journal of Law, Medicine, and Politics, the Los Angeles Times, The New York Times, USA Today, The Wall Street Journal, and The Washington Post.
Mr. Miller has also testified before Congress on the uninsured, health care costs, Medicare cost sharing, high-risk pools, health care competition, health insurance tax credits, the individual mandate, genetic information, Social Security, and the federal reinsurance of catastrophic events, among others. He also speaks regularly on various college campuses and teaches a seminar on “Shaping Law and Policy” at Duke University School of Law.
Mr. Miller has a JD from the Duke University School of Law and a BA in political science from New York University.
JD, Duke University School of Law B.A., political science, New York University","Affordable Care Act (Obamacare)
Health care policy",https://www.aei.org/profile/thomas-p-miller/,thomas-p-miller
Charles Murray,charlesmurray,F. A. Hayek Emeritus Chair in Cultural Studies ,"Society and culture
Universal basic income
Genomic social science

Society and Culture 
Charles Murray holds the F. A. Hayek Emeritus Chair in Cultural Studies at the American Enterprise Institute.
Dr. Murray first came to national attention with the publication of “Losing Ground: American Social Policy, 1950–1980” (Basic Books, 1984), which has been credited as the intellectual foundation for the Welfare Reform Act of 1996. In 1994, “The Bell Curve” (Free Press), a New York Times bestseller he coauthored with the late Richard J. Herrnstein, sparked heated controversy for its analysis of the role of IQ in shaping America’s class structure. In 2012, in another the New York Times bestseller, “Coming Apart: The State of White America, 1960–2010” (Crown Forum), Dr. Murray described the nature and causes of the cultural polarization that, by 2016, would shape national politics. In his latest book, “Human Diversity: The Biology of Gender, Race, and Class” (Twelve Books, January 2020), he describes recent developments in genetics and neuroscience that are transforming the social sciences.
His other books include “By the People: Rebuilding Liberty Without Permission” (Crown Forum, 2015); “Human Accomplishment” (HarperCollins, 2003); “What It Means to Be a Libertarian” (Broadway Books, 1997); and “In Pursuit: Of Happiness and Good Government” (Simon & Schuster, 1988).
Dr. Murray, who was born and raised in Newton, Iowa, has a PhD in political science from the Massachusetts Institute of Technology and a BA in history from Harvard University.
PhD, political science, Massachusetts Institute of Technology
BA, history, Harvard University",,https://www.aei.org/profile/charles-murray/,charles-murray
Neil Narang,,Jeane Kirkpatrick Visiting Scholar,"alliance
humanitarian
National security
nuclear
Statecraft

Foreign and Defense Policy 
Neil Narang is a Jeane Kirkpatrick Visiting Scholar at the American Enterprise Institute, where he focuses on national security strategy, alliance politics, nuclear proliferation, and conflict management. He is also affiliated with the University of California Institute on Global Conflict and Cooperation, the Center for International Security and Cooperation at Stanford University, and the Graduate Institute of International and Development Studies in Geneva, Switzerland.
Concurrently, Dr. Narang is an associate professor in the Department of Political Science and director of the Security Hub at the University of California, Santa Barbara. From 2015 to 2016, he served as a senior adviser in the Office of the Secretary of Defense at the Pentagon. He has also been a fellow, researcher, and analyst with the University of Pennsylvania, the Peace Research Institute Oslo in Norway, and the Los Alamos National Laboratory.
Dr. Narang’s research has been published in a variety of academic journals, including International Studies Quarterly, Journal of Conflict Resolution, and The Journal of Politics. He is also the coeditor of “Nonproliferation Policy and Nuclear Posture: Causes and Consequences for the Spread of Nuclear Weapons” (Routledge, 2016).
Dr. Narang received an MA and PhD in political science from the University of California, San Diego. He has a BA in molecular cell biology and political science from the University of California, Berkeley.
PhD, MA, political science, University of California, San Diego
BA, molecular cell biology and political science, University of California, Berkeley
","alliance
humanitarian
National security
nuclear
Statecraft",https://www.aei.org/profile/neil-narang/,neil-narang
Roger F. Noriega,rogernoriegaUSA,Visiting Fellow,"Latin America
Transnational organized crime
Venezuela

Foreign and Defense Policy 
For media inquiries please email AEI’s Media Services: [email protected] or call 202.862.5829
BA, Washburn University","Latin America
Transnational organized crime
Venezuela",https://www.aei.org/profile/roger-f-noriega/,roger-f-noriega
Stephen D. Oliner,,"State Farm James Q. Wilson Scholar; Senior Adviser, AEI Housing Center","Federal Housing Administration (FHA)
Monetary policy
US housing market

Economics 

Housing Center 
Stephen D. Oliner is the State Farm James Q. Wilson Scholar at the American Enterprise Institute (AEI) and senior adviser at the AEI Housing Center. He is also a senior fellow at the Ziman Center for Real Estate at the University of California, Los Angeles. His active research agenda focuses on real estate issues and the growth potential of the US economy.
Dr. Oliner joined AEI in 2012 after spending more than 25 years at the Federal Reserve Board, where he held several high-level positions as a research economist and officer.
Dr. Oliner has a PhD and an MS in economics from the University of Wisconsin. He received a BA in economics from the University of Virginia.
PhD, MS, economics, University of Wisconsin
BA, economics, University of Virginia","Federal Housing Administration (FHA)
Monetary policy
US housing market",https://www.aei.org/profile/stephen-d-oliner/,stephen-d-oliner
Ed Olsen,,Visiting Scholar,"Affordable housing
US housing market

Economics 
Edgar (Ed) O. Olsen is a visiting scholar at the American Enterprise Institute, where he focuses on low-income housing policy and poverty alleviation, including welfare policy. He is concurrently a professor of economics and public policy at the University of Virginia, where he has taught a course on the US welfare system for many years.
A consultant to the US Government Accountability Office and the US Department of Housing and Urban Development (HUD), Dr. Olsen was part of HUD’s National Housing Policy Review, which led to the development of the US housing voucher program. He was also was a visiting scholar in the Office of Policy Development and Research at HUD during its Experimental Housing Allowance Program.
Dr. Olsen has published numerous papers on housing markets and policies in leading professional journals. He is the author of the low-income housing programs chapter in the 2003 National Bureau of Economic Research volume on means-tested transfers in the United States and the chapter on US housing policy in the “Handbook of Regional and Urban Economics” (North-Holland, 2015).
Dr. Olsen has testified on low-income housing policy before Congress and has served as an expert witness in two major class-action lawsuits. He was a member of the 2007 National Academy of Sciences Committee to Evaluate the Research Plan of the Department of Housing and Urban Development and a member of HUD’s Moving to Opportunity for Fair Housing Technical Review Panel.
Dr. Olsen has a PhD in economics from Rice University and a BA in economics and mathematics from Tulane University.
PhD, economics, Rice University
BA, economics and mathematics, Tulane University","Affordable housing
US housing market",https://www.aei.org/profile/ed-olsen/,ed-olsen
Norman J. Ornstein,NormOrnstein,Resident Scholar,"American politics
Public opinion polls

Politics and Public Opinion 
Norman Ornstein is a resident scholar at the American Enterprise Institute (AEI), where he studies politics, elections, and the US Congress. He is a cohost of AEI’s Election Watch series, a contributing editor and columnist for National Journal and The Atlantic, a BBC News election analyst, and the chairman of the Campaign Legal Center.
Dr. Ornstein previously served as codirector of the AEI-Brookings Election Reform Project and senior counselor to the Continuity of Government Commission. A longtime observer and analyst of American politics and the US Congress, he has been involved in political reform for decades, particularly campaign finance reform and the reform of Senate committees. He has also played a part in creating the Congressional Office of Compliance and the House Office of Congressional Ethics.
Dr. Ornstein was elected fellow of the American Academy of Arts and Sciences in 2004.
His many interviews have been aired on C-SPAN’s “Washington Journal,” CBS, CNN, Fox News Channel, MSNBC, NPR, and “PBS NewsHour,” among others. His articles and opinion pieces have been published widely, including in Politico, The New York Times, NY Daily News, The Wall Street Journal, and The Washington Post.
Dr. Ornstein’s books include the bestsellers “One Nation After Trump: A Guide for the Perplexed, the Disillusioned, the Desperate, and the Not-Yet Deported,” with E. J. Dionne and Thomas E. Mann (St. Martin’s Press, 2017); and “It’s Even Worse Than It Looks: How the American Constitutional System Collided with the New Politics of Extremism;” “The Broken Branch: How Congress Is Failing America and How to Get It Back on Track,” with Thomas E. Mann (Oxford University Press, 2006); and “The Permanent Campaign and Its Future” (AEI Press, 2000).
Dr. Ornstein has a PhD and a master’s in political science from the University of Michigan and a BA from the University of Minnesota.


PhD, MA, political science, University of Michigan
BA, University of Minnesota

","American politics
Public opinion polls",https://www.aei.org/profile/norman-j-ornstein/,norman-j-ornstein
Brent Orrell,,Resident Fellow,"Career and technical education
Criminal Justice Reform
Prison education and reentry
US workforce

Poverty Studies 
Brent Orrell is a resident fellow at the American Enterprise Institute, where he works on job training, workforce development, and criminal justice reform. Specifically, his research focuses on expanding opportunity for all Americans through improved work readiness and job training and improving the performance of the criminal justice system through rehabilitation and prisoner reentry programs.
Before joining AEI, Mr. Orrell worked in the executive and legislative branches of the US government for over 20 years. He was nominated by President George W. Bush to lead the Employment and Training Administration of the US Department of Labor, and he served as deputy assistant secretary for policy at the Administration for Children and Families at the US Department of Health and Human Services.
Mr. Orrell is the editor of “Rethinking Reentry” (AEI, January 2020), in which he authored the chapter “Identity and Agency: A New Approach to Rehabilitation and Reentry.” He is also the host of the podcast “Hardly Working.” A frequent contributor to the popular press, Mr. Orrell has been published in Law & Liberty, RealClearPolicy, RealClearMarkets, and The Hill.
He has a bachelor’s degree from the University of Oregon.
BA, University of Oregon","Career and technical education
Criminal Justice Reform
Prison education and reentry
US workforce",https://www.aei.org/profile/brent-orrell/,brent-orrell
Mark J. Perry,Mark_J_Perry,Scholar,"International trade
US labor market

Economics 
Mark J. Perry is concurrently a scholar at AEI and a professor of economics and finance at the University of Michigan’s Flint campus. He is best known as the creator and editor of the popular economics blog Carpe Diem. At AEI, Perry writes about economic and financial issues for American.com and the AEIdeas blog.
 
PhD, MA, economics, George Mason University
MBA, finance, University of Minnesota","International trade
US labor market",https://www.aei.org/profile/mark-j-perry/,mark-j-perry
Tobias Peter,,"Director of Research, AEI Housing Center","Housing finance

Housing Center 
Tobias Peter is the director of research at the American Enterprise Institute’s Housing Center, where he focuses on housing risk and mortgage markets.
Working closely with the director of the AEI Housing Center, Mr. Peter has coauthored a variety of reports on housing policy, specifically on the impact of federal policy on housing demand and homeownership, housing finance risks, and first-time home buyers. His pieces have been published in policy journals and in the popular press, including in American Banker and Business Insider.
He has a master’s in public policy from the Harvard Kennedy School and a bachelor’s degree in history and applied economics from The College of St. Scholastica.
MPP, business and government, Harvard Kennedy School
BA, history and applied economics, The College of St. Scholastica",Housing finance,https://www.aei.org/profile/tobias-peter/,tobias-peter
James Pethokoukis,JimPethokoukis,"Editor, AEIdeas;
DeWitt Wallace Fellow","Economic growth
Innovation
Internet regulation
Productivity

Economics 
James Pethokoukis, a columnist and an economic policy analyst, is the Dewitt Wallace Fellow at the American Enterprise Institute, where he writes and edits the AEIdeas blog and hosts a weekly podcast, “Political Economy with James Pethokoukis.” He is also a columnist for The Week and an official contributor to CNBC.
Before joining AEI, he was the Washington columnist for Reuters “Breakingviews,” the opinion and commentary wing of Thomson Reuters, and the business editor and economics columnist for US News & World Report.
Mr. Pethokoukis has written for many publications, including Commentary, Investor’s Business Daily, National Review, The New York Times, USA Today, Washington Examiner, and The Weekly Standard. His numerous broadcast appearances include CNN, Fox Business Network, Fox News Channel, “The McLaughlin Group,” MSNBC, and “Nightly Business Report” on PBS.
A graduate of Northwestern University and the Medill School of Journalism, Mr. Pethokoukis is a 2002 “Jeopardy!” champion.","Economic growth
Innovation
Internet regulation
Productivity",https://www.aei.org/profile/james-pethokoukis/,james-pethokoukis
Edward J. Pinto,,"Resident Fellow; Director, AEI Housing Center","Affordable housing
Federal Housing Administration (FHA)
Housing finance
US housing market

Housing Center 
Edward J. Pinto is a resident fellow and the director of the AEI Housing Center at the American Enterprise Institute (AEI). He is currently researching how to increase the entry-level housing supply for first-time buyers and renters who earn hourly wages, as well as examining the current house price boom that began in 2012. This continues his previous work on the role of federal housing policy in the 2008 mortgage and financial crisis.
Along with AEI Resident Scholar Stephen Oliner, Mr. Pinto created the Wealth Building Home Mortgage, a new approach to home finance designed to provide a more reliable and effective way of building wealth than is available under existing policies. This mortgage allows home buyers to maintain a buying power similar to a 30-year loan. It is aimed at a broad range of homebuyers, including low-income, minority, and first-time buyers.
Before joining AEI, Mr. Pinto was an executive vice president and chief credit officer for Fannie Mae until the late 1980s. Today, he is frequently interviewed on radio and television and often testifies before Congress. His writings have been published in trade publications and the popular press, including in the American Banker, The Hill, RealClearPolitics, and The Wall Street Journal. In addition, as the director of the AEI Housing Center, he oversees the monthly publication of the AEI Housing Market Indicators, which has replaced AEI’s monthly Housing Risk Watch and AEI’s FHA Watch.
Mr. Pinto has a JD from Indiana University Maurer School of Law and a BA from the University of Illinois at Urbana-Champaign.


JD, Indiana University Maurer School of Law
BA, University of Illinois at Urbana-Champaign

","Affordable housing
Federal Housing Administration (FHA)
Housing finance
US housing market",https://www.aei.org/profile/edward-j-pinto/,edward-j-pinto
Danielle Pletka,dpletka,Senior Fellow,"US foreign and defense policy
Middle East
International terrorism
Nonproliferation

Foreign and Defense Policy 
Danielle Pletka is a senior fellow in foreign and defense policy studies at the American Enterprise Institute (AEI), where she focuses on US foreign policy generally and the Middle East specifically. Until January 2020, Ms. Pletka was the senior vice president of foreign and defense policy studies at AEI. Concurrently, she also teaches US Middle East policy at Georgetown University’s Walsh School of Foreign Service.
Before joining AEI, Ms. Pletka was a senior professional staff member for the Middle East and South Asia for the Senate Committee on Foreign Relations.
Ms. Pletka has authored, coauthored, and coedited a variety of studies, monographs, and book chapters, including the introduction to “Seven Pillars: What Really Causes Instability in the Middle East” (AEI Press, 2019); the report “Tehran Stands atop the Syria-Iran Alliance” (Atlantic Council, 2017); the chapter “America in Decline” in “Debating the Obama Presidency” (Rowman & Littlefield, 2016); “America vs. Iran: The Competition for the Future of the Middle East” (AEI, 2014); “Iranian Influence in the Levant, Egypt, Iraq, and Afghanistan” (AEI, 2012); “Containing and Deterring a Nuclear Iran” (AEI, 2011); and “Dissent and Reform in the Arab World: Empowering Democrats” (AEI Press, 2008).
A regular guest on television, Ms. Pletka appears frequently on NBC News’ “Meet the Press.” Her broadcast appearances also include CBS News, CNN, C-SPAN, and MSNBC. She has been published in The Washington Post, The Wall Street Journal, The New York Times, The Hill, and Politico, among other outlets. Ms. Pletka is also the cohost, with AEI’s Marc Thiessen, of the podcast “What the Hell Is Going On? (Making Sense of the World).”
She has an MA from the School of Advanced International Studies at Johns Hopkins University and a BA from Smith College.
MA, School of Advanced International Studies, Johns Hopkins University
BA, Smith College",,https://www.aei.org/profile/danielle-pletka/,danielle-pletka
Kenneth Pollack,,Resident Scholar,"Arab militaries
Iran
Iraq
Syria

Foreign and Defense Policy 
Kenneth M. Pollack is a resident scholar at the American Enterprise Institute (AEI), where he works on Middle Eastern political-military affairs, focusing in particular on Iran, Iraq, Saudi Arabia, and the Gulf countries.
Before joining AEI, Dr. Pollack was affiliated with the Brookings Institution, where he was a senior fellow at the Saban Center for Middle East Policy. Before that, he was the center’s director and director of research. Dr. Pollack served twice at the National Security Council, first as director for Near East and South Asian affairs and then as director for Persian Gulf affairs. He began his career as a Persian Gulf military analyst at the CIA, where he was the principal author of the CIA’s classified postmortem on Iraqi strategy and military operations during the Persian Gulf War. Among other recognitions, Dr. Pollack was awarded the CIA’s Exceptional Performance Award twice and the Certificate of Distinction for Outstanding Performance of Duty, both for work on the Persian Gulf War.
Dr. Pollack has also worked on long-term issues related to Middle Eastern political and military affairs for the Joint Chiefs of Staff when he was a senior research professor at the Institute for National Security Studies at National Defense University.
Dr. Pollack is the author of 10 books, including “Armies of Sand: The Past, Present, and Future of Arab Military Effectiveness” (Oxford University Press, 2019), a history of Arab armies from the end of World War II to the present, in which he assesses the performance of Arab armed forces and the reason for their difficulties; “Unthinkable: Iran, the Bomb, and American Strategy” (Simon & Schuster, 2013), named one of the “Best Books of 2013” by The Economist and one of the “100 Notable Books of 2013” by The New York Times; “A Path out of the Desert: A Grand Strategy for America in the Middle East” (Random House, 2008), a Washington Post and Foreign Affairs bestseller, which was chosen as one of The Washington Post’s “Best Books of the Year” for 2008 and as an editor’s choice of The New York Times Book Review; “The Persian Puzzle: The Conflict Between Iran and America” (Random House, 2004); and “The Threatening Storm: The Case for Invading Iraq” (Random House, 2002), a New York Times and Washington Post bestseller.
Dr. Pollack is the author of numerous articles and has been published in The Washington Post, The Wall Street Journal, The New York Times, Foreign Affairs, and The Atlantic, among others.
He received a bachelor’s from Yale University and a doctorate in political science from the Massachusetts Institute of Technology.
PhD, Massachusetts Institute of Technology BA, Yale University","Arab militaries
Iran
Iraq
Syria",https://www.aei.org/profile/kenneth-pollack/,kenneth-pollack
Kyle Pomerleau,kpomerleau,Resident fellow,"Corporate taxes
Tax policy
Tax reform

Economics 
Kyle Pomerleau is a resident fellow at the American Enterprise Institute (AEI), where he studies federal tax policy.
Before joining AEI, Mr. Pomerleau was chief economist and vice president of economic analysis at the Tax Foundation, where he led the macroeconomic and tax modeling team and wrote on various tax policy topics, including corporate taxation, international tax policy, carbon taxation, and tax reform.
The author of many studies, Mr. Pomerleau has been published in trade publications and policy journals including Tax Notes and the National Tax Journal. He is frequently quoted in major media outlets such as The New York Times, The Wall Street Journal, and The Washington Post. He has also testified before Congress and state legislators.
Mr. Pomerleau has an MPP in economic and social policy from Georgetown University’s McCourt School of Public Policy and a BA in history and political science from the University of Southern Maine.
MPP, economic and social policy, McCourt School of Public Policy, Georgetown University
BA, history and political science, University of Southern Maine
","Corporate taxes
Tax policy
Tax reform",https://www.aei.org/profile/kyle-pomerleau/,kyle-pomerleau
